,full_text,VADER_score,predicted_sentiment
511,We need to work together. will bring us together again to join the rest of the world in,0.296,neutral
512,The Health and Human Services Secretary Alex Azar said that the United States will preferably have the effective vaccines to immunize all the vulnerable COVID-19 patients by end of . ://,0.6124,neutral
513,Fascinating talk by Professor Adrian Hill on the . Maybe good interim vaccine results would mean emergency approval could be given by regulator to start rolling out cacine to elderly vulnerable and frontline medical staff by end of,0.7184,positive
514,"While is busy promising free for , the rest of is still WAITING for: * lakhs in every bank account.* The benefits of * The benefits of * The benefits of building the world's largest statue.",0.9153,positive
515,Phase III trial Of COVID-19 vaccine in Odisha hospital soon ://,0.0,negative
516,The Centers for Medicare and Medicaid Services wants a free COVID-19 vaccine available to all,0.5106,neutral
517,I bet the Black Santa Claus didnt get that offer and would have declined being experimented upon but all of them are on the naught list and getting coal and jail time,0.0,negative
518,The whole is literally sat down like that waiting for,0.3612,neutral
519,I dont know about you but I want this pandemic to be over. I want a in .This move by the CPC could easily prevent that. Its as simple as that. Motion passesCanadians access to vaccines against this deadly virus is put in peril.,0.1531,neutral
520,U.S. disease expert Fauci says vaccine verdict due by early December,0.1531,neutral
521,If Proved To Be Safe... Could ComeAt Year's EndSaysDr.Fauci.....*VankaPro,0.0,negative
522,Dude...I of a hundred other non-essential workers that should get this before a Santa Claus performer.,0.0,negative
523,MOPH signs agreement with second pharmaceutical company to procure COVID-19 vaccines,0.4939,neutral
524,MOPH signs agreement with second pharmaceutical company to procure COVID-19 vaccines,0.4939,neutral
525,"Bottlenecks at congested will likely be a critical point in the distribution , warns the",-0.4019,negative
526,"Bottlenecks at congested will likely be a critical point in the distribution , warns the",-0.4019,negative
527,Oxford-AstraZeneca completes its experimental COVID-19 vaccine trials and BMC will soon start the third phase of its clinical trials in Mumbai.,0.0,negative
528,Welcome Message by Dr. Naif Alharbi Forum Co-Chairman Director.,0.4588,neutral
529,Welcome Message by Dr. Mohamed Boudjelal COVID19 Forum Chairperson.,0.4588,neutral
530,EXPLAINED - WHY THEY ARE SO DESPERATE TO GIVE EVERYONE THE UNNECESSARY DNA ALTERING HIGH-RISK WARP SPEED GATES/MODERNA .In Trials - % of the High Dose Group and % of the Low Dose Group Had Systemic Side EffectsSTOPWORLDCONTROLDOTCOM,-0.7318,negative
531,by Read more:,0.0,negative
532,hospital at centre of revelation about for NHS staff,0.0,negative
533,It's good to follow some boundaries.,0.4404,neutral
534,It's good to follow some boundaries.,0.4404,neutral
535,"Prime Minister Prayut Chan-o-cha has emphasized COVID-19 vaccine and medication as ""global public goods"" that can be equally accessed by everyone worldwide to mark UN Day on Saturday.Read more :",0.0,negative
536,Every Nation is keen to know that which Pharma_Company gets Success in Developing . Modena &amp; Johnson_n_Johnson are two Company who have Succeeded in continuing rd Trial.,0.8402,positive
537,Stay Positive and Test Negative.,-0.0258,negative
538,Rushed Election Week batch.,0.0,negative
539,Alike PPD_Leader Politicians are fighting Presidential on the bases of 'Free' . On other hand Trump is cured from by taking Controversial Medicines.,-0.0258,negative
540,". How to get vaccinated for a while preserving ?2. Why won't identity linked healthcare fuel apparatus henceforth?3. What are the alternatives for rolling out with speed, scale and efficiency?",0.466,neutral
541,Democrat party contestant Joe Biden said that free vaccine will be given to all the people in the US if he won in US presidential Elections in a speech where they were just eleven days ahead for the polls.,0.8658,positive
542,"India Reports New COVID-19 Cases in Past Hours, Tally Inches Closer to Lakh, Death Toll Rises to",-0.5994,negative
543,The vaccine may be available early if government decides to use it under emergency use but Bharat Biotech is not pressing for such a permission. ://,-0.2023,negative
544,"COVID-19 Vaccines in India to Be Approved by February, Will Be Available to Larger Population Between April to June, Says Kiran Mazumdar-Shaw ://",0.4215,neutral
545,DNA India - India-Myanmar to jointly work on Covid-19 vaccine - [],0.0,negative
546,"SMS, digital certificate, schools as booths in blueprint for drive next year. Read more:",0.0,negative
547,Why can't be distributed to active adult population by REusing VOTING data &amp; registration process. This could be -2 month total for shot vaccinations. At least can help to deliver something else besides POLITICS. $MRNA $Bntx,0.6597,neutral
548,Vaccine experts warned the that releasing a without robust data could result in significant harm to Americans.,-0.7037,negative
549,. expresses hope that will be made available in country by January next year,0.4404,neutral
550,Harsh Vardhan expresses hope that Covid-19 vaccine will be made available in country by January next year,0.0,negative
551,further details,0.0,negative
552,"Lockdowns are a way to destroy the existing societies for the ""global reset"". Civil wars between the people and the governments are the easiest way to bring down global societies...",-0.6486,negative
553,"Dr. Samadi, do you think that if win the that he would halt the production and start the research from scratch? Would that set us back a year? How many more Americans would die from this delay?",-0.4945,negative
554,Welcome Message by Dr. Ahmed Alaskar President of COVID-19 Vaccine Symposium.,0.4588,neutral
555,"Welcome Message by Dr. Bandar AlKnawy, Chief Executive Officer Ministry of National Guard-Health Affairs, President King Saud Bin Abdulaziz University for Health Sciences, Patron of th KAIMRC Annual Forum For Medical Research.",0.4588,neutral
556,Symposium Topics,0.0,negative
557,About us:,0.0,negative
558,DNA India - India to get COVID-19 vaccine by mid-2021 says Biocon's Kiran Mazumd... - [],0.0,negative
559,"Any that alters your is a DNA is your code passed to your children, from thousands of generations. If your code is corrupted how will a Human baby be formed? Mod -e-(fy)-RNA",0.0,negative
560,First quarter of .,0.0,negative
561,Health Minister expresses hope that will be made available in the country by January next year.,0.4404,neutral
562,Health Minister expresses hope that will be made available in the country by January next year.,0.4404,neutral
563,The claims to discover to by the pharmaceutical company...,0.0,negative
564,"Several companies are working to create COVID-19 vaccines, which are expected to be finalized and approved for distribution in the coming months, according to the governor's office.",0.5994,neutral
565,my recent paper 'Computational perspectives revealed prospective vaccine candidates from five structural proteins of novel SARS corona virus (SARS-CoV-2)' article published in journal,0.3182,neutral
566,"Developing a vaccine is just the first step. Having the supplies to administer it is also critical, said at our event last week (). Learn about what is doing to get ready to distribute a here:",0.0516,neutral
567,promises free for everyone in US if elected as President,0.7096,positive
568,All citizens should get free : CM,0.5106,neutral
569,FDA says its regulatory decision-making for a will be driven by science alone,-0.25,negative
570,| COVID-19 Vaccine Should be Free for All: Kejriwal ://,0.5106,neutral
571,Everything Ive read about the says it will be a series of two shots. So just think about how complicated that makes logistics for million United States residents.,0.4215,neutral
572,People are traveling across China in hopes of a Covid-19 vaccine shot,0.4215,neutral
573,See the latest update on the urgent race to develop a at . :// [well done!],0.2714,neutral
574,All citizens should get free :,0.5106,neutral
575,must explain govt facility is sold fore voteIs govt facility is sold to must take immediate action to ban the party for contesting,-0.2263,negative
576,Oct : for a : /scitranslmed.abe0948,0.0,negative
577,Is BJPs Bihar Election Manifesto Promise of Free COVID Vaccine Credible When PM Modi Ignored Naveens Plea for Free COVID Test,0.765,positive
578,is no different as officials all go around saying they in only their Of they will not take any reaches out in to pass up can even as vaccine safe their public may in listening to them too!,0.2129,neutral
579,Cyprus Ministry of Health announces more cases of covid on Friday,0.0,negative
580,"I think we have to remember not to forget what these diseases did in the past and to actively collaborate, to work with each other, and to communicate well that vaccines work."" - at a event on developing a .",0.6207,neutral
581,Chief Minister on Saturday said the should be made available throughout the country for free,0.5106,neutral
582,Delhi CM Arvind Kejriwal Pitches For Free COVID-19 Vaccine Throughout India,0.5106,neutral
583,"COVID-19 Vaccines in India to be Available by June, Delivering to Billion People a Challenge, Says Kiran Mazumdar-Shaw | Read full report",0.0772,neutral
584,"Oct NewsletterGood morning, my personal choices for today:",0.0,negative
585,"Oct NewsletterGood morning, my personal choices for today: ://",0.0,negative
586,Dear and thank you for keeping me going in . Thanks to your show I passed my examinations so I am grateful for your COVID19 coverage on I hope you interview each other in your shows and,0.9213,positive
587,COVID-19 vaccine should be made available throughout the country for free: Delhi CM .,0.5106,neutral
588,All the Anti Nationals should not be given . Then they will understand the true meaning of Patriotism for one's Nation.,0.128,neutral
589,"The story behind the amazing and beautiful cover by and : ""We wanted to steer clear of syringes and globes and - if possible - not make the virus the main element. We landed on a design inspired by Bauhaus."" in",0.926,positive
590,The trials of the two pharmaceutical firms were halted after serious adverse reactions (SAE) were detected in volunteers,-0.4215,negative
